$ 2006 QGT File; Data from C:/Users/g2echnb9/Documents/MFWill/HCR-LOP_IRRM_2020/boundaryConditions/RES_2020-01-13/HCR_LOP---0. Units in cubic meters per second.
# all times in PST
"JDAY","Spillway","Power","RO"
305,0,76.74,0
306,0,79.17,0
307,0,81.55,0
308,0,89.05,0
309,0,109.91,0
310,0,93.38,0
311,0,116.72,0
312,0,126.95,0
313,0,109.93,0
314,0,96.45,0
315,0,100.16,0
316,0,96.72,0
317,0,143.07,0
318,0,155.21,0
319,0,150.55,0
320,0,209.1,0
321,0,164.11,0
322,0,142.69,0
323,0,144.75,0
324,0,233.46,20.88
325,0,229.87,19.44
326,0,224.74,0
327,0,201.53,0
328,0,208.01,0
329,0,176.28,0
330,0,178.47,0
331,0,170.22,0
332,0,167.94,0
333,0,132.39,0
334,0,126.23,0
335,0,112.01,0
336,0,104.95,0
337,0,110.99,0
338,0,110.99,0
339,0,110.99,0
340,0,110.99,0
341,0,110.99,0
342,0,110.99,0
343,0,110.99,0
344,0,110.99,0
345,0,117.59,0
346,0,117.59,0
347,0,108,0
348,0,110.99,0
349,0,192.91,0
350,0,247.1,17.63
351,0,246.68,15.82
352,0,211.64,0
353,0,207.51,0
354,0,170.55,0
355,0,155.4,0
356,0,156.65,0
357,0,121.44,0
358,0,69.83,0
359,0,94.64,0
360,0,255.38,141.54
361,0,256.51,97.13
362,0,257.03,104.97
363,0,255.54,114.03
364,0,252.06,13.12
365,0,190.86,0
366,0,190.86,0
