$Temperature file for segment 85
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
    80.180,    5.03,
    80.201,    5.00,
    80.222,    4.98,
    80.243,    4.96,
    80.264,    4.94,
    80.285,    4.92,
    80.306,    4.89,
    80.327,    4.86,
    80.348,    4.85,
    80.369,    4.85,
    80.390,    4.85,
    80.411,    4.87,
    80.432,    4.90,
    80.453,    4.95,
    80.474,    5.02,
    80.495,    5.09,
    80.516,    5.26,
    80.537,    5.47,
    80.558,    5.66,
    80.579,    5.84,
    80.600,    5.99,
    80.621,    6.14,
    80.642,    6.26,
    80.663,    6.36,
    80.684,    6.42,
    80.705,    6.46,
    80.726,    6.48,
    80.747,    6.48,
    80.768,    6.47,
    80.789,    6.46,
    80.810,    6.44,
    80.831,    6.41,
    80.852,    6.37,
    80.873,    6.32,
    80.894,    6.26,
    80.915,    6.18,
    80.936,    6.10,
    80.957,    6.02,
    80.978,    5.95,
    80.999,    5.88,
    81.020,    5.81,
    81.041,    5.75,
    81.062,    5.69,
    81.083,    5.64,
    81.104,    5.59,
    81.125,    5.54,
    81.146,    5.48,
    81.167,    5.43,
    81.188,    5.38,
    81.209,    5.33,
    81.230,    5.29,
    81.251,    5.25,
    81.272,    5.20,
    81.293,    5.16,
    81.314,    5.11,
    81.335,    5.07,
    81.356,    5.05,
    81.377,    5.03,
    81.398,    5.05,
    81.419,    5.09,
    81.440,    5.17,
    81.461,    5.26,
    81.482,    5.37,
    81.503,    5.49,
    81.524,    5.61,
    81.545,    5.74,
    81.566,    5.87,
    81.587,    6.00,
    81.608,    6.14,
    81.629,    6.29,
    81.650,    6.42,
    81.671,    6.55,
    81.692,    6.65,
    81.713,    6.74,
    81.734,    6.81,
    81.755,    6.88,
    81.776,    6.92,
    81.797,    6.94,
    81.818,    6.95,
    81.839,    6.94,
    81.860,    6.91,
    81.881,    6.87,
    81.902,    6.83,
    81.923,    6.78,
    81.944,    6.72,
    81.965,    6.64,
    81.986,    6.57,
    82.007,    6.49,
    82.028,    6.41,
    82.049,    6.31,
    82.070,    6.21,
    82.091,    6.11,
    82.112,    6.01,
    82.133,    5.91,
    82.154,    5.82,
    82.175,    5.73,
    82.196,    5.65,
    82.217,    5.58,
    82.238,    5.52,
    82.259,    5.46,
    82.280,    5.40,
    82.301,    5.34,
    82.322,    5.28,
    82.343,    5.25,
    82.364,    5.23,
    82.385,    5.22,
    82.406,    5.24,
    82.427,    5.28,
    82.448,    5.34,
    82.469,    5.40,
    82.490,    5.51,
    82.511,    5.64,
    82.532,    5.78,
    82.553,    5.93,
    82.574,    6.09,
    82.595,    6.27,
    82.616,    6.46,
    82.637,    6.64,
    82.658,    6.78,
    82.679,    6.90,
    82.700,    6.98,
    82.721,    7.04,
    82.742,    7.08,
    82.763,    7.10,
    82.784,    7.11,
    82.805,    7.12,
    82.826,    7.11,
    82.847,    7.08,
    82.868,    7.05,
    82.889,    7.02,
    82.910,    6.96,
    82.931,    6.88,
    82.952,    6.79,
    82.973,    6.70,
    82.994,    6.59,
    83.015,    6.49,
    83.036,    6.41,
    83.057,    6.32,
    83.078,    6.23,
    83.099,    6.15,
    83.120,    6.08,
    83.141,    6.01,
    83.162,    5.94,
    83.183,    5.86,
    83.204,    5.79,
    83.225,    5.72,
    83.246,    5.66,
    83.267,    5.59,
    83.288,    5.54,
    83.309,    5.50,
    83.330,    5.47,
    83.351,    5.47,
    83.372,    5.46,
    83.393,    5.49,
    83.414,    5.55,
    83.435,    5.67,
    83.456,    5.79,
    83.477,    5.92,
    83.498,    6.06,
    83.519,    6.18,
    83.540,    6.30,
    83.561,    6.40,
    83.582,    6.51,
    83.603,    6.71,
    83.624,    6.92,
    83.645,    7.07,
    83.666,    7.19,
    83.687,    7.24,
    83.708,    7.24,
    83.729,    7.22,
    83.750,    7.19,
    83.771,    7.18,
    83.792,    7.16,
    83.813,    7.12,
    83.834,    7.08,
    83.855,    7.03,
    83.876,    6.98,
    83.897,    6.92,
    83.918,    6.84,
    83.939,    6.75,
    83.960,    6.65,
    83.981,    6.55,
    84.002,    6.45,
    84.023,    6.37,
    84.044,    6.28,
    84.065,    6.19,
    84.086,    6.10,
    84.107,    6.02,
    84.128,    5.94,
    84.149,    5.87,
    84.170,    5.81,
    84.191,    5.75,
    84.212,    5.71,
    84.233,    5.67,
    84.254,    5.63,
    84.275,    5.58,
    84.296,    5.53,
    84.317,    5.48,
    84.338,    5.43,
    84.359,    5.40,
    84.380,    5.37,
    84.401,    5.35,
    84.422,    5.35,
    84.443,    5.34,
    84.464,    5.33,
    84.485,    5.33,
    84.506,    5.35,
    84.527,    5.40,
    84.548,    5.45,
    84.569,    5.49,
    84.590,    5.53,
    84.611,    5.58,
    84.632,    5.62,
    84.653,    5.68,
    84.674,    5.75,
    84.695,    5.86,
    84.716,    5.93,
    84.737,    5.92,
    84.758,    5.90,
    84.779,    5.88,
    84.800,    5.84,
    84.821,    5.81,
    84.842,    5.77,
    84.863,    5.73,
    84.884,    5.69,
    84.905,    5.64,
    84.926,    5.59,
    84.947,    5.53,
    84.968,    5.47,
    84.989,    5.41,
    85.010,    5.34,
    85.031,    5.28,
    85.052,    5.21,
    85.073,    5.15,
    85.094,    5.10,
    85.115,    5.06,
    85.136,    5.01,
    85.157,    4.97,
    85.178,    4.93,
    85.199,    4.89,
    85.220,    4.86,
    85.241,    4.83,
    85.262,    4.80,
    85.283,    4.77,
    85.304,    4.75,
    85.325,    4.73,
    85.346,    4.72,
    85.367,    4.73,
    85.388,    4.74,
    85.409,    4.79,
    85.430,    4.86,
    85.451,    4.95,
    85.472,    5.07,
    85.493,    5.22,
    85.514,    5.37,
    85.535,    5.51,
    85.556,    5.72,
    85.577,    5.95,
    85.598,    6.16,
    85.619,    6.36,
    85.640,    6.50,
    85.661,    6.60,
    85.682,    6.68,
    85.703,    6.74,
    85.724,    6.79,
    85.745,    6.82,
    85.766,    6.83,
    85.787,    6.81,
    85.808,    6.75,
    85.829,    6.67,
    85.850,    6.60,
    85.871,    6.52,
    85.892,    6.43,
    85.913,    6.33,
    85.934,    6.22,
    85.955,    6.12,
    85.976,    6.00,
    85.997,    5.89,
    86.018,    5.77,
    86.039,    5.65,
    86.060,    5.55,
    86.081,    5.44,
    86.102,    5.34,
    86.123,    5.25,
    86.144,    5.16,
    86.165,    5.08,
    86.186,    5.01,
    86.207,    4.93,
    86.228,    4.86,
    86.249,    4.79,
    86.270,    4.72,
    86.291,    4.65,
    86.312,    4.62,
    86.333,    4.60,
    86.354,    4.61,
    86.375,    4.62,
    86.396,    4.68,
    86.417,    4.76,
    86.438,    4.90,
    86.459,    5.06,
    86.480,    5.24,
    86.501,    5.42,
    86.522,    5.66,
    86.543,    5.89,
    86.564,    6.14,
    86.585,    6.38,
    86.606,    6.59,
    86.627,    6.79,
    86.648,    6.95,
    86.669,    7.10,
    86.690,    7.20,
    86.711,    7.28,
    86.732,    7.34,
    86.753,    7.40,
    86.774,    7.43,
    86.795,    7.44,
    86.816,    7.41,
    86.837,    7.37,
    86.858,    7.30,
    86.879,    7.24,
    86.900,    7.20,
    86.921,    7.14,
    86.942,    7.07,
    86.963,    7.01,
    86.984,    6.94,
    87.005,    6.87,
    87.026,    6.79,
    87.047,    6.70,
    87.068,    6.61,
    87.089,    6.53,
    87.110,    6.44,
    87.131,    6.35,
    87.152,    6.27,
    87.173,    6.18,
    87.194,    6.09,
    87.215,    6.02,
    87.236,    5.95,
    87.257,    5.89,
    87.278,    5.83,
    87.299,    5.77,
    87.320,    5.71,
    87.341,    5.69,
    87.362,    5.71,
    87.383,    5.74,
    87.404,    5.78,
    87.425,    5.83,
    87.446,    5.93,
    87.467,    6.04,
    87.488,    6.19,
    87.509,    6.37,
    87.530,    6.56,
    87.551,    6.73,
    87.572,    6.86,
    87.593,    7.02,
    87.614,    7.20,
    87.635,    7.37,
    87.656,    7.50,
    87.677,    7.60,
    87.698,    7.68,
    87.719,    7.72,
    87.740,    7.73,
    87.761,    7.72,
    87.782,    7.69,
    87.803,    7.64,
    87.824,    7.57,
    87.845,    7.49,
    87.866,    7.42,
    87.887,    7.33,
    87.908,    7.23,
    87.929,    7.11,
    87.950,    6.98,
    87.971,    6.84,
    87.992,    6.71,
    88.013,    6.60,
    88.034,    6.50,
    88.055,    6.40,
    88.076,    6.30,
    88.097,    6.21,
    88.118,    6.12,
    88.139,    6.04,
    88.160,    5.97,
    88.181,    5.90,
    88.202,    5.83,
    88.223,    5.77,
    88.244,    5.72,
    88.265,    5.66,
    88.286,    5.62,
    88.307,    5.57,
    88.328,    5.52,
    88.349,    5.50,
    88.370,    5.48,
    88.391,    5.49,
    88.412,    5.56,
    88.433,    5.69,
    88.454,    5.85,
    88.475,    5.98,
    88.496,    6.10,
    88.517,    6.20,
    88.538,    6.28,
    88.559,    6.40,
    88.580,    6.53,
    88.601,    6.67,
    88.622,    6.82,
    88.643,    6.95,
    88.664,    7.07,
    88.685,    7.16,
    88.706,    7.15,
    88.727,    7.14,
    88.748,    7.12,
    88.769,    7.10,
    88.790,    7.07,
    88.811,    7.03,
    88.832,    6.99,
    88.853,    6.94,
    88.874,    6.89,
    88.895,    6.84,
    88.916,    6.77,
    88.937,    6.70,
    88.958,    6.62,
    88.979,    6.55,
    89.000,    6.47,
    89.021,    6.40,
    89.042,    6.33,
    89.063,    6.25,
    89.084,    6.18,
    89.105,    6.11,
    89.126,    6.04,
    89.147,    5.98,
    89.168,    5.93,
    89.189,    5.88,
    89.210,    5.83,
    89.231,    5.79,
    89.252,    5.74,
    89.273,    5.69,
    89.294,    5.65,
    89.315,    5.62,
    89.336,    5.60,
    89.357,    5.61,
    89.378,    5.62,
    89.399,    5.66,
    89.420,    5.70,
    89.441,    5.77,
    89.462,    5.84,
    89.483,    5.93,
    89.504,    6.03,
    89.525,    6.17,
    89.546,    6.30,
    89.567,    6.41,
    89.588,    6.52,
    89.609,    6.60,
    89.630,    6.70,
    89.651,    6.74,
    89.672,    6.77,
    89.693,    6.80,
    89.714,    6.82,
    89.735,    6.84,
    89.756,    6.86,
    89.777,    6.86,
    89.798,    6.86,
    89.819,    6.85,
    89.840,    6.83,
    89.861,    6.80,
    89.882,    6.76,
    89.903,    6.72,
    89.924,    6.68,
    89.945,    6.63,
    89.966,    6.59,
    89.987,    6.55,
    90.008,    6.51,
    90.029,    6.46,
    90.050,    6.40,
    90.071,    6.35,
    90.092,    6.30,
    90.113,    6.26,
    90.134,    6.22,
    90.155,    6.18,
    90.176,    6.14,
    90.197,    6.09,
    90.218,    6.03,
    90.239,    5.96,
    90.260,    5.89,
    90.281,    5.83,
    90.302,    5.78,
    90.323,    5.75,
    90.344,    5.72,
    90.365,    5.69,
    90.386,    5.68,
    90.407,    5.73,
    90.428,    5.80,
    90.449,    5.90,
    90.470,    6.00,
    90.491,    6.12,
    90.512,    6.29,
    90.533,    6.48,
    90.554,    6.66,
    90.575,    6.82,
    90.596,    6.93,
    90.617,    6.98,
    90.638,    7.02,
    90.659,    7.04,
    90.680,    7.08,
    90.701,    7.14,
    90.722,    7.16,
    90.743,    7.17,
    90.764,    7.16,
    90.785,    7.16,
    90.806,    7.13,
    90.827,    7.09,
    90.848,    7.05,
    90.869,    7.01,
    90.890,    6.96,
    90.911,    6.89,
    90.932,    6.82,
    90.953,    6.74,
    90.974,    6.66,
    90.995,    6.60,
    91.016,    6.54,
    91.037,    6.48,
    91.058,    6.41,
    91.079,    6.35,
    91.100,    6.28,
    91.121,    6.21,
    91.142,    6.14,
    91.163,    6.05,
    91.184,    5.97,
    91.205,    5.90,
    91.226,    5.83,
    91.247,    5.77,
    91.268,    5.72,
    91.289,    5.68,
    91.310,    5.64,
    91.331,    5.59,
    91.352,    5.59,
    91.373,    5.59,
    91.394,    5.62,
    91.415,    5.70,
    91.436,    5.82,
    91.457,    5.96,
    91.478,    6.09,
    91.499,    6.22,
    91.520,    6.32,
    91.541,    6.41,
    91.562,    6.55,
    91.583,    6.69,
    91.604,    6.82,
    91.625,    6.93,
    91.646,    7.05,
    91.667,    7.17,
    91.688,    7.28,
    91.709,    7.37,
    91.730,    7.39,
    91.751,    7.38,
    91.772,    7.34,
    91.793,    7.29,
    91.814,    7.18,
    91.835,    7.07,
    91.856,    6.97,
    91.877,    6.88,
    91.898,    6.78,
    91.919,    6.68,
    91.940,    6.58,
    91.961,    6.47,
    91.982,    6.37,
    92.003,    6.27,
    92.024,    6.17,
    92.045,    6.06,
    92.066,    5.96,
    92.087,    5.87,
    92.108,    5.80,
    92.129,    5.74,
    92.150,    5.69,
    92.171,    5.63,
    92.192,    5.59,
    92.213,    5.55,
    92.234,    5.51,
    92.255,    5.46,
    92.276,    5.42,
    92.297,    5.38,
    92.318,    5.36,
    92.339,    5.34,
    92.360,    5.34,
    92.381,    5.33,
    92.402,    5.37,
    92.423,    5.42,
    92.444,    5.48,
    92.465,    5.54,
    92.486,    5.60,
    92.507,    5.69,
    92.528,    5.81,
    92.549,    5.96,
    92.570,    6.15,
    92.591,    6.35,
    92.612,    6.55,
    92.633,    6.73,
    92.654,    6.85,
    92.675,    6.97,
    92.696,    7.06,
    92.717,    7.15,
    92.738,    7.22,
    92.759,    7.28,
    92.780,    7.32,
    92.801,    7.34,
    92.822,    7.34,
    92.843,    7.32,
    92.864,    7.28,
    92.885,    7.23,
    92.906,    7.17,
    92.927,    7.10,
    92.948,    7.02,
    92.969,    6.95,
    92.990,    6.88,
    93.011,    6.81,
    93.032,    6.73,
    93.053,    6.66,
    93.074,    6.58,
    93.095,    6.50,
    93.116,    6.42,
    93.137,    6.36,
    93.158,    6.29,
    93.179,    6.24,
    93.200,    6.18,
    93.221,    6.12,
    93.242,    6.07,
    93.263,    6.03,
    93.284,    5.99,
    93.305,    5.97,
    93.326,    5.95,
    93.347,    5.95,
    93.368,    5.95,
    93.389,    5.96,
    93.410,    5.97,
    93.431,    6.01,
    93.452,    6.06,
    93.473,    6.12,
    93.494,    6.21,
    93.515,    6.37,
    93.536,    6.57,
    93.557,    6.76,
    93.578,    6.94,
    93.599,    7.11,
    93.620,    7.28,
    93.641,    7.43,
    93.662,    7.58,
    93.683,    7.70,
    93.704,    7.69,
    93.725,    7.67,
    93.746,    7.65,
    93.767,    7.65,
    93.788,    7.64,
    93.809,    7.62,
    93.830,    7.58,
    93.851,    7.52,
    93.872,    7.45,
    93.893,    7.38,
    93.914,    7.29,
    93.935,    7.20,
    93.956,    7.11,
    93.977,    7.02,
    93.998,    6.92,
    94.019,    6.83,
    94.040,    6.74,
    94.061,    6.68,
    94.082,    6.62,
    94.103,    6.55,
    94.124,    6.49,
    94.145,    6.42,
    94.166,    6.34,
    94.187,    6.26,
    94.208,    6.17,
    94.229,    6.09,
    94.250,    6.01,
    94.271,    5.94,
    94.292,    5.88,
    94.313,    5.82,
    94.334,    5.78,
    94.355,    5.74,
    94.376,    5.72,
    94.397,    5.72,
    94.418,    5.74,
    94.439,    5.86,
    94.460,    6.01,
    94.481,    6.18,
    94.502,    6.37,
    94.523,    6.58,
    94.544,    6.80,
    94.565,    7.03,
    94.586,    7.24,
    94.607,    7.44,
    94.628,    7.64,
    94.649,    7.83,
    94.670,    8.02,
    94.691,    8.12,
    94.712,    8.19,
    94.733,    8.20,
    94.754,    8.18,
    94.775,    8.15,
    94.796,    8.08,
    94.817,    7.97,
    94.838,    7.85,
    94.859,    7.71,
    94.880,    7.56,
    94.901,    7.43,
    94.922,    7.31,
    94.943,    7.19,
    94.964,    7.07,
    94.985,    6.96,
    95.006,    6.86,
    95.027,    6.76,
    95.048,    6.67,
    95.069,    6.60,
    95.090,    6.52,
    95.111,    6.46,
    95.132,    6.40,
    95.153,    6.33,
    95.174,    6.26,
    95.195,    6.19,
    95.216,    6.13,
    95.237,    6.07,
    95.258,    6.02,
    95.279,    5.97,
    95.300,    5.94,
    95.321,    5.90,
    95.342,    5.88,
    95.363,    5.86,
    95.384,    5.86,
    95.405,    5.88,
    95.426,    5.91,
    95.447,    5.93,
    95.468,    5.97,
    95.489,    6.02,
    95.510,    6.08,
    95.531,    6.14,
    95.552,    6.21,
    95.573,    6.29,
    95.594,    6.37,
    95.615,    6.44,
    95.636,    6.50,
    95.657,    6.54,
    95.678,    6.57,
    95.699,    6.60,
    95.720,    6.62,
    95.741,    6.63,
    95.762,    6.64,
    95.783,    6.65,
    95.804,    6.62,
    95.825,    6.59,
    95.846,    6.54,
    95.867,    6.49,
    95.888,    6.44,
    95.909,    6.39,
    95.930,    6.34,
    95.951,    6.29,
    95.972,    6.25,
    95.993,    6.20,
    96.014,    6.15,
    96.035,    6.10,
    96.056,    6.05,
    96.077,    6.00,
    96.098,    5.96,
    96.119,    5.93,
    96.140,    5.89,
    96.161,    5.85,
    96.182,    5.82,
    96.203,    5.79,
    96.224,    5.77,
    96.245,    5.75,
    96.266,    5.74,
    96.287,    5.72,
    96.308,    5.72,
    96.329,    5.71,
    96.350,    5.73,
    96.371,    5.75,
    96.392,    5.79,
    96.413,    5.85,
    96.434,    5.92,
    96.455,    6.00,
    96.476,    6.09,
    96.497,    6.18,
    96.518,    6.31,
    96.539,    6.45,
    96.560,    6.61,
    96.581,    6.78,
    96.602,    6.90,
    96.623,    7.00,
    96.644,    7.09,
    96.665,    7.17,
    96.686,    7.24,
    96.707,    7.29,
    96.728,    7.31,
    96.749,    7.31,
    96.770,    7.30,
    96.791,    7.28,
    96.812,    7.22,
    96.833,    7.14,
    96.854,    7.06,
    96.875,    6.98,
    96.896,    6.90,
    96.917,    6.83,
    96.938,    6.76,
    96.959,    6.68,
    96.980,    6.61,
    97.001,    6.55,
    97.022,    6.49,
    97.043,    6.43,
    97.064,    6.37,
    97.085,    6.31,
    97.106,    6.26,
    97.127,    6.21,
    97.148,    6.18,
    97.169,    6.14,
    97.190,    6.10,
    97.211,    6.05,
    97.232,    6.00,
    97.253,    5.94,
    97.274,    5.89,
    97.295,    5.85,
    97.316,    5.83,
    97.337,    5.82,
    97.358,    5.83,
    97.379,    5.84,
    97.400,    5.91,
    97.421,    5.97,
    97.442,    6.09,
    97.463,    6.21,
    97.484,    6.37,
    97.505,    6.53,
    97.526,    6.69,
    97.547,    6.85,
    97.568,    6.99,
    97.589,    7.13,
    97.610,    7.25,
    97.631,    7.38,
    97.652,    7.45,
    97.673,    7.51,
    97.694,    7.56,
    97.715,    7.59,
    97.736,    7.62,
    97.757,    7.65,
    97.778,    7.65,
    97.799,    7.63,
    97.820,    7.58,
    97.841,    7.51,
    97.862,    7.45,
    97.883,    7.38,
    97.904,    7.33,
    97.925,    7.28,
    97.946,    7.24,
    97.967,    7.19,
    97.988,    7.14,
    98.009,    7.07,
    98.030,    7.00,
    98.051,    6.93,
    98.072,    6.87,
    98.093,    6.81,
    98.114,    6.76,
    98.135,    6.71,
    98.156,    6.67,
    98.177,    6.62,
    98.198,    6.57,
    98.219,    6.52,
    98.240,    6.47,
    98.261,    6.42,
    98.282,    6.37,
    98.303,    6.33,
    98.324,    6.30,
    98.345,    6.28,
    98.366,    6.28,
    98.387,    6.29,
    98.408,    6.33,
    98.429,    6.39,
    98.450,    6.47,
    98.471,    6.55,
    98.492,    6.64,
    98.513,    6.73,
    98.534,    6.83,
    98.555,    6.89,
    98.576,    6.95,
    98.597,    7.05,
    98.618,    7.15,
    98.639,    7.23,
    98.660,    7.28,
    98.681,    7.34,
    98.702,    7.39,
    98.723,    7.40,
    98.744,    7.41,
    98.765,    7.39,
    98.786,    7.36,
    98.807,    7.32,
    98.828,    7.28,
    98.849,    7.22,
    98.870,    7.16,
    98.891,    7.10,
    98.912,    7.03,
    98.933,    6.95,
    98.954,    6.86,
    98.975,    6.77,
    98.996,    6.69,
    99.017,    6.60,
    99.038,    6.51,
    99.059,    6.43,
    99.080,    6.34,
    99.101,    6.27,
    99.122,    6.20,
    99.143,    6.14,
    99.164,    6.08,
    99.185,    6.01,
    99.206,    5.95,
    99.227,    5.90,
    99.248,    5.85,
    99.269,    5.80,
    99.290,    5.75,
    99.311,    5.72,
    99.332,    5.69,
    99.353,    5.69,
    99.374,    5.69,
    99.395,    5.70,
    99.416,    5.72,
    99.437,    5.76,
    99.458,    5.81,
    99.479,    5.88,
    99.500,    5.96,
    99.521,    6.05,
    99.542,    6.15,
    99.563,    6.27,
    99.584,    6.40,
    99.605,    6.54,
    99.626,    6.67,
    99.647,    6.82,
    99.668,    6.96,
    99.689,    7.05,
    99.710,    7.11,
    99.731,    7.11,
    99.752,    7.12,
    99.773,    7.14,
    99.794,    7.15,
    99.815,    7.13,
    99.836,    7.09,
    99.857,    7.04,
    99.878,    6.97,
    99.899,    6.89,
    99.920,    6.82,
    99.941,    6.75,
    99.962,    6.68,
    99.983,    6.60,
   100.004,    6.52,
   100.025,    6.44,
   100.046,    6.37,
   100.067,    6.32,
   100.088,    6.26,
   100.109,    6.21,
   100.130,    6.17,
   100.151,    6.13,
   100.172,    6.09,
   100.193,    6.05,
   100.214,    6.00,
   100.235,    5.96,
   100.256,    5.92,
   100.277,    5.88,
   100.298,    5.86,
   100.319,    5.84,
   100.340,    5.85,
   100.361,    5.88,
   100.382,    5.91,
   100.403,    5.99,
   100.424,    6.08,
   100.445,    6.21,
   100.466,    6.33,
   100.487,    6.45,
   100.508,    6.58,
   100.529,    6.71,
   100.550,    6.86,
   100.571,    7.04,
   100.592,    7.21,
   100.613,    7.36,
   100.634,    7.50,
   100.655,    7.63,
   100.676,    7.75,
   100.697,    7.84,
   100.718,    7.87,
   100.739,    7.83,
   100.760,    7.80,
   100.781,    7.77,
   100.802,    7.74,
   100.823,    7.70,
   100.844,    7.66,
   100.865,    7.60,
   100.886,    7.52,
   100.907,    7.42,
   100.928,    7.31,
   100.949,    7.20,
   100.970,    7.10,
   100.991,    6.99,
   101.012,    6.88,
   101.033,    6.78,
   101.054,    6.68,
   101.075,    6.59,
   101.096,    6.51,
   101.117,    6.44,
   101.138,    6.36,
   101.159,    6.29,
   101.180,    6.21,
   101.201,    6.15,
   101.222,    6.09,
   101.243,    6.02,
   101.264,    5.96,
   101.285,    5.90,
   101.306,    5.86,
   101.327,    5.83,
   101.348,    5.84,
   101.369,    5.85,
   101.390,    5.88,
   101.411,    5.94,
   101.432,    6.01,
   101.453,    6.09,
   101.474,    6.17,
   101.495,    6.28,
   101.516,    6.47,
   101.537,    6.68,
   101.558,    6.91,
   101.579,    7.13,
   101.600,    7.28,
   101.621,    7.42,
   101.642,    7.53,
   101.663,    7.62,
   101.684,    7.70,
   101.705,    7.78,
   101.726,    7.84,
   101.747,    7.89,
   101.768,    7.89,
   101.789,    7.87,
   101.810,    7.81,
   101.831,    7.74,
   101.852,    7.66,
   101.873,    7.58,
   101.894,    7.50,
   101.915,    7.44,
   101.936,    7.37,
   101.957,    7.31,
   101.978,    7.23,
   101.999,    7.15,
   102.020,    7.06,
   102.041,    6.97,
   102.062,    6.90,
   102.083,    6.83,
   102.104,    6.77,
   102.125,    6.72,
   102.146,    6.65,
   102.167,    6.58,
   102.188,    6.51,
   102.209,    6.43,
   102.230,    6.36,
   102.251,    6.30,
   102.272,    6.26,
   102.293,    6.24,
   102.314,    6.22,
   102.335,    6.20,
   102.356,    6.19,
   102.377,    6.19,
   102.398,    6.20,
   102.419,    6.24,
   102.440,    6.31,
   102.461,    6.38,
   102.482,    6.49,
   102.503,    6.63,
   102.524,    6.84,
   102.545,    7.05,
   102.566,    7.25,
   102.587,    7.42,
   102.608,    7.54,
   102.629,    7.66,
   102.650,    7.81,
   102.671,    7.96,
   102.692,    8.10,
   102.713,    8.21,
   102.734,    8.23,
   102.755,    8.25,
   102.776,    8.23,
   102.797,    8.17,
   102.818,    8.06,
   102.839,    7.96,
   102.860,    7.85,
   102.881,    7.76,
   102.902,    7.66,
   102.923,    7.56,
   102.944,    7.45,
   102.965,    7.35,
   102.986,    7.25,
   103.007,    7.17,
   103.028,    7.10,
   103.049,    7.03,
   103.070,    6.97,
   103.091,    6.91,
   103.112,    6.86,
   103.133,    6.81,
   103.154,    6.75,
   103.175,    6.69,
   103.196,    6.64,
   103.217,    6.59,
   103.238,    6.55,
   103.259,    6.53,
   103.280,    6.52,
   103.301,    6.52,
   103.322,    6.52,
   103.343,    6.52,
   103.364,    6.54,
   103.385,    6.56,
   103.406,    6.62,
   103.427,    6.69,
   103.448,    6.77,
   103.469,    6.83,
   103.490,    6.91,
   103.511,    7.00,
   103.532,    7.09,
   103.553,    7.18,
   103.574,    7.27,
   103.595,    7.35,
   103.616,    7.43,
   103.637,    7.49,
   103.658,    7.54,
   103.679,    7.59,
   103.700,    7.64,
   103.721,    7.67,
   103.742,    7.69,
   103.763,    7.71,
   103.784,    7.69,
   103.805,    7.65,
   103.826,    7.61,
   103.847,    7.55,
   103.868,    7.50,
   103.889,    7.45,
   103.910,    7.38,
   103.931,    7.31,
   103.952,    7.24,
   103.973,    7.17,
   103.994,    7.10,
   104.015,    7.03,
   104.036,    6.97,
   104.057,    6.90,
   104.078,    6.84,
   104.099,    6.78,
   104.120,    6.72,
   104.141,    6.67,
   104.162,    6.62,
   104.183,    6.57,
   104.204,    6.54,
   104.225,    6.50,
   104.246,    6.45,
   104.267,    6.41,
   104.288,    6.38,
   104.309,    6.36,
   104.330,    6.35,
   104.351,    6.33,
   104.372,    6.33,
   104.393,    6.33,
   104.414,    6.35,
   104.435,    6.39,
   104.456,    6.45,
   104.477,    6.51,
   104.498,    6.58,
   104.519,    6.68,
   104.540,    6.78,
   104.561,    6.81,
   104.582,    6.86,
   104.603,    6.93,
   104.624,    6.99,
   104.645,    7.04,
   104.666,    7.09,
   104.687,    7.10,
   104.708,    7.10,
   104.729,    7.09,
   104.750,    7.07,
   104.771,    7.04,
   104.792,    7.00,
   104.813,    6.95,
   104.834,    6.90,
   104.855,    6.85,
   104.876,    6.79,
   104.897,    6.73,
   104.918,    6.67,
   104.939,    6.60,
   104.960,    6.53,
   104.981,    6.45,
   105.002,    6.38,
   105.023,    6.31,
   105.044,    6.24,
   105.065,    6.17,
   105.086,    6.10,
   105.107,    6.03,
   105.128,    5.97,
   105.149,    5.91,
   105.170,    5.85,
   105.191,    5.79,
   105.212,    5.74,
   105.233,    5.68,
   105.254,    5.62,
   105.275,    5.56,
   105.296,    5.50,
   105.317,    5.46,
   105.338,    5.42,
   105.359,    5.39,
   105.380,    5.37,
   105.401,    5.39,
   105.422,    5.42,
   105.443,    5.41,
   105.464,    5.40,
   105.485,    5.41,
   105.506,    5.42,
   105.527,    5.43,
   105.548,    5.46,
   105.569,    5.49,
   105.590,    5.52,
   105.611,    5.56,
   105.632,    5.61,
   105.653,    5.70,
   105.674,    5.78,
   105.695,    5.83,
   105.716,    5.88,
   105.737,    5.90,
   105.758,    5.91,
   105.779,    5.89,
   105.800,    5.86,
   105.821,    5.81,
   105.842,    5.76,
   105.863,    5.70,
   105.884,    5.64,
   105.905,    5.58,
   105.926,    5.52,
   105.947,    5.44,
   105.968,    5.35,
   105.989,    5.28,
   106.010,    5.21,
   106.031,    5.14,
   106.052,    5.09,
   106.073,    5.05,
   106.094,    5.01,
   106.115,    4.98,
   106.136,    4.94,
   106.157,    4.91,
   106.178,    4.88,
   106.199,    4.87,
   106.220,    4.85,
   106.241,    4.84,
   106.262,    4.81,
   106.283,    4.79,
   106.304,    4.79,
   106.325,    4.81,
   106.346,    4.84,
   106.367,    4.88,
   106.388,    4.92,
   106.409,    4.97,
   106.430,    5.05,
   106.451,    5.19,
   106.472,    5.36,
   106.493,    5.56,
   106.514,    5.70,
   106.535,    5.80,
   106.556,    5.91,
   106.577,    6.03,
   106.598,    6.22,
   106.619,    6.42,
   106.640,    6.56,
   106.661,    6.63,
   106.682,    6.71,
   106.703,    6.78,
   106.724,    6.85,
   106.745,    6.93,
   106.766,    6.96,
