$Temperature file for segment 85
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
     7.037,    5.60,
     7.058,    5.59,
     7.079,    5.59,
     7.100,    5.59,
     7.121,    5.58,
     7.142,    5.57,
     7.163,    5.57,
     7.184,    5.56,
     7.205,    5.56,
     7.226,    5.56,
     7.247,    5.56,
     7.268,    5.56,
     7.289,    5.55,
     7.310,    5.55,
     7.331,    5.55,
     7.352,    5.55,
     7.373,    5.55,
     7.394,    5.56,
     7.415,    5.56,
     7.436,    5.57,
     7.457,    5.58,
     7.478,    5.59,
     7.499,    5.60,
     7.520,    5.61,
     7.541,    5.62,
     7.562,    5.63,
     7.583,    5.64,
     7.604,    5.65,
     7.625,    5.67,
     7.646,    5.68,
     7.667,    5.68,
     7.688,    5.67,
     7.709,    5.65,
     7.730,    5.64,
     7.751,    5.62,
     7.772,    5.59,
     7.793,    5.57,
     7.814,    5.53,
     7.835,    5.49,
     7.856,    5.45,
     7.877,    5.41,
     7.898,    5.37,
     7.919,    5.33,
     7.940,    5.28,
     7.961,    5.24,
     7.982,    5.20,
     8.003,    5.17,
     8.024,    5.14,
     8.045,    5.11,
     8.066,    5.08,
     8.087,    5.06,
     8.108,    5.04,
     8.129,    5.02,
     8.150,    5.00,
     8.171,    4.98,
     8.192,    4.97,
     8.213,    4.95,
     8.234,    4.94,
     8.255,    4.93,
     8.276,    4.92,
     8.297,    4.92,
     8.318,    4.92,
     8.339,    4.92,
     8.360,    4.92,
     8.381,    4.92,
     8.402,    4.93,
     8.423,    4.94,
     8.444,    4.96,
     8.465,    4.98,
     8.486,    5.00,
     8.507,    5.04,
     8.528,    5.07,
     8.549,    5.11,
     8.570,    5.14,
     8.591,    5.18,
     8.612,    5.22,
     8.633,    5.27,
     8.654,    5.30,
     8.675,    5.33,
     8.696,    5.35,
     8.717,    5.36,
     8.738,    5.37,
     8.759,    5.38,
     8.780,    5.39,
     8.801,    5.39,
     8.822,    5.39,
     8.843,    5.38,
     8.864,    5.37,
     8.885,    5.36,
     8.906,    5.35,
     8.927,    5.33,
     8.948,    5.32,
     8.969,    5.31,
     8.990,    5.30,
     9.011,    5.30,
     9.032,    5.30,
     9.053,    5.29,
     9.074,    5.28,
     9.095,    5.29,
     9.116,    5.30,
     9.137,    5.30,
     9.158,    5.31,
     9.179,    5.31,
     9.200,    5.31,
     9.221,    5.32,
     9.242,    5.32,
     9.263,    5.32,
     9.284,    5.33,
     9.305,    5.33,
     9.326,    5.34,
     9.347,    5.35,
     9.368,    5.36,
     9.389,    5.37,
     9.410,    5.38,
     9.431,    5.40,
     9.452,    5.42,
     9.473,    5.45,
     9.494,    5.47,
     9.515,    5.50,
     9.536,    5.54,
     9.557,    5.57,
     9.578,    5.61,
     9.599,    5.66,
     9.620,    5.72,
     9.641,    5.76,
     9.662,    5.79,
     9.683,    5.81,
     9.704,    5.84,
     9.725,    5.86,
     9.746,    5.87,
     9.767,    5.86,
     9.788,    5.85,
     9.809,    5.85,
     9.830,    5.84,
     9.851,    5.83,
     9.872,    5.83,
     9.893,    5.83,
     9.914,    5.84,
     9.935,    5.85,
     9.956,    5.86,
     9.977,    5.86,
     9.998,    5.86,
    10.019,    5.86,
    10.040,    5.86,
    10.061,    5.86,
    10.082,    5.86,
    10.103,    5.86,
    10.124,    5.87,
    10.145,    5.87,
    10.166,    5.88,
    10.187,    5.89,
    10.208,    5.91,
    10.229,    5.92,
    10.250,    5.92,
    10.271,    5.93,
    10.292,    5.94,
    10.313,    5.94,
    10.334,    5.95,
    10.355,    5.96,
    10.376,    5.98,
    10.397,    5.99,
    10.418,    6.01,
    10.439,    6.03,
    10.460,    6.05,
    10.481,    6.06,
    10.502,    6.08,
    10.523,    6.09,
    10.544,    6.11,
    10.565,    6.12,
    10.586,    6.12,
    10.607,    6.13,
    10.628,    6.14,
    10.649,    6.13,
    10.670,    6.12,
