RESSIMCode,ReachName,W2name,SegmentOutput,wb,DownstreamModel,MeasTFileNm
DET,DETROIT,NA,NA,1,NA
BCL,BIGCLIFF,NA,NA,1,NA
GPR,GREENPETER,NA,NA,1,NA
FOS,FOSTER,NA,NA,2,NA
CGR,COUGAR,NA,NA,1,NA
HCR,HILLSCREEK,hcr,25,1,NA
MFR,MiddleFork,mfr,85,1,NA
LOP,LOOKOUTPOINT,lop-dex,36,1,NA
DEX,DEXTER,lop-dex,57,2,NA
